case_number,case_url,file_date,property_address,filing_no,volume_no,page_no
RP-2025-177891,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVebWBUXftfnUFr1N0AMigbG5YBSQ/DqS+MU9r1lP8Djpe5pg3UpCmWPevMNUGIyWHv9+KvrKOZVHiG9aiS2CcVXsVBQ9D45IzGmb362k/xtyTmNx3ICrt9sgOwHy1W0OQw==,05/12/2025,,,2,2
RP-2025-177887,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVRbGk/R4Gy7M5KmqDBlMpFdPnx0rxl9gTEyw4N7WQPplhXIDv2sdLUj9HLdtJv3Nm3GEBG1Ew2yZtM5mv+As57tOWQ6olH2+X2mqnsL+rC828NUi7GMXVv9qUoo0gB8Wfw==,05/12/2025,,,2,2
RP-2025-177872,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVcjmkADa6o+POWOLUMt8PP37p8aLAdlXry3O0Bp0RWSK77CgDqq6HiUIrhZ7tEZ8MLR0DI81a2RwxsGX1yOOdwQ6DfRt0nv2uNnece5IiRl5I/UqpKtevvMnQnvxyn2ovw==,05/12/2025,,,2,2
RP-2025-177865,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVUuqQwaD3FKhuMMye73EGB1lNgqLgVtHWHBIKdRzrVOxn4ZY5qBtGz509qEOBCmyJUHRwH8IvCFJ8i87DNk1oLLV/G5fLAzkhIkE3af0W3C7GjUCgCt0ErmiMeJrI0B/VA==,05/12/2025,,,2,2
RP-2025-177847,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVQGIvUuE9pwTTUgYJBLFsaY9xPb3BSdO33EZBiXgEL6cWg8jjwosUvT0Yg6ZJmdJ3ri+RhS2NIu96D6WrpyXQfHm/vrWPJGsrTANbm6oblKWLUi9Shk940HgqiLlhUzmHA==,05/12/2025,,,2,2
RP-2025-177834,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVY2y2dlNIw5fHQpWNc6iP74fpFkzDa7krLymCi7oMfY8yzSt7nu6HAcWBqI37UmjZGathpouaPt9pz7iXng4Eya0Hm1jfxFpPnOWF5ikE03eCc2XKAy4Iiy3t3fV4QVeTQ==,05/12/2025,,,2,2
RP-2025-177819,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVV+5/OEurhzV2blHP+8kE+nzZCXSZwEs3yn2VdI3TZGQiDj1ZuriAr5ObZ3wLr2RFpvqKiI6oOaVzPNq90aKTeWxQCbCQcIqHZdMCZr3o1qv0nPE+633apqlGhQamFFWyA==,05/12/2025,,,2,2
RP-2025-177807,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVYP3XOA6+KtkCwrzOcVTOllOO/PLqnphUdxQ5f53sRC9okK8KUruCI1C4SJ2wHaJAAnvyFdTAiCaEoH4AP2HHjI48X00fTwjz/Fiss9kPV/Q7qed8KqoEGwEqG37AxcTdQ==,05/12/2025,,,2,2
RP-2025-177748,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVfx+h5QM/UVz31xbsrLrSZCFe1Vuyhm/knhCCuXuMLk7A55JEUzZKxwoFefcMKIUmzep43+bVlMsuQKOK178AwPOxf76TdqMhFtBrUTdLXHN+HY9Vqde6W132fRjKp6H1w==,05/12/2025,,,5,5
RP-2025-177519,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVZm0XdkfS0FhyaOAJWS5FXMgPUkEzJBah9bGPSITifshOqbyrzvAlSdw6Xt7YVRIyNcoOP7owdkVQhhZLEubJ+FTFOPgCHDGVwiSDOzjG4cosXEWDxwKsyRQNY8Q2TdHuw==,05/12/2025,,,7,7
