document_id,document_url,sale_date,file_date,pages,scraped_address
FRCL-2025-3342,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NTMpaBXnukMxGqAWQp70aL+zJuNO6TSz1IIIbgeSxlCsSx/ImIMYh0aWcgxWaGzZYRHQzFh3Gzxowd3gcalpUtx+2OAlUyRR/t3v/uGSKAY3,2025-06-03,2025-05-01,1,"LOT 726, BLOCK 2."
FRCL-2025-3331,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NTMpaBXnukMxGqAWQp70aL99DETCRUjdTeDCy2UnAOFD3yg7RosG8+6uqp56f7MkSs157bxU/flrgrFh0tXgbuKjEzT52Xg1BcorirDwdRsv,2025-06-03,2025-05-01,1,"LOT 20, BLOCK 5 WAS HARRIS COUNTY, TEXAS."
FRCL-2025-3332,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+DAfxwc6SphSB5DtdI77Tyfse9XHhlaESOK9yNgbDFv8imR6GzPLYEopXn/IOVsmmqsBMSOyY8I2I0D56QmDxNS,2025-06-03,2025-05-01,2,"653 vine Center Drive,
Jiving, CA 92518"
FRCL-2025-3333,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NTMpaBXnukMxGqAWQp70aL8FCGzti/AoVpRbHPQMZI8pd3FWQxE1enVgcyslvq0TpqoPxAhDMHS+HRaf3XzusCXP8P1rw9doJrCwa2Rxd8tK,2025-06-03,2025-05-01,1,"LOT 4, IN BLOCK 2, OF ACCORDING TO THE MAP OR PLAT THEREOF, RECORDE!."
FRCL-2025-3334,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NTMpaBXnukMxGqAWQp70aL/iA3lOvQu7b/WlkN+Zr2nuUhQyQCeeXRUBLVHCVaRR0gbdryTaLHDjh3T2E11Au4q8FCZo2HQu3jNPfWbkuWn5,2025-06-03,2025-05-01,1,"LOT 3, BLOCK 1."
FRCL-2025-3336,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NTMpaBXnukMxGqAWQp70aL/+fsyzj7yXAGyuJHs/HRO4UYYFyeqsCcIveLjTyzro7uls4xPdau5GK8KkNW+XCDZ9H3ZePIESnBqlsnYefQkx,2025-06-03,2025-05-01,1,"LOT 56, BLOCK I1, NORTHVIEW WEST, PLAT THEREOF RECORDED IN VOLUME 327, PAGE 1, OF '."
FRCL-2025-3338,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NTMpaBXnukMxGqAWQp70aL8X7xfVeWYU2U7qzLdq+uWYIh97yOMftUQ13M97bpGdVT8P6GwYnqROS0XO1iJ1QUq0iAuGb3VOInLObJJbh+IS,2025-06-03,2025-05-01,1,"LOT 36, IN BLOCK 1, OF MALLARD CROSSING SEC."
FRCL-2025-3339,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NTMpaBXnukMxGqAWQp70aL/uWgny8DGWgdCSIk15/sMVp+CZjifjpftlfbLny5ePYFGccFQrWOvB2Mh1wf6KlWB5aBY/pBlTV2X9kykISqaO,2025-07-01,2025-05-01,1,"LOT 1, BLOCK 6, OF RAINTREE-V! 2 COUNTY, TEXAS."
FRCL-2025-3341,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NTMpaBXnukMxGqAWQp70aL/+PRydAAFD6LUkxWeVvk+26KBtHSc/dpnRQ+H/jPLKvBVAaNX2QVzRHAYI2Hn+3A/EMDE6I9PbumMents3O9sG,2025-07-01,2025-05-01,1,"LOT 8 IN BLOCK 20, SCARSDALE SECT PLAT THEREOF RECORDED IN VOLUME 188, PAGE 78, OF."
FRCL-2025-3344,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+CQbayrd71rWN0B/bIPNrLr5BVs/blwFxQmt24s9DADsXSn3cxLIZJmIDTT0C6oAzynRKalfKVA5DgRjFgbcsuT,2025-06-03,2025-05-01,2,"1177 West Le 700, Heuston, TX 77027"
FRCL-2025-3345,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+CBVB1BBqujxt/um+gOuzn6q2yBnhoZB8PX03pALsp5BbmiHNuZJoNhPgKsboAD85Roa+6NAOK8UkzHSPhsXc3y,2025-06-03,2025-05-01,2,"0001 5318 LACREEK LN, SPRING, TX 77379"
FRCL-2025-3347,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+BeDHCNF1ETHgBItZGSpLnlnHcsRptjClhHzZdr+0iBFqxKt6CJnZv4dhCVqACOhI6Q/6teD14VkjRu15NBmLqK,2025-06-03,2025-05-01,2,"5811 LARAMIE RIVER CT, KATY, TX 77449"
FRCL-2025-3350,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+AL4zln5sOKRQcRvMs8w/nmVelfebvpMN7NUbjEarWhqBxH4teoBEuN2YNAyJfNaSaqTPGoJ28tMBbHwmKgU5v4,2025-06-03,2025-05-01,2,"LOT 4, IN BLOCK 12, OF SEQU COUNTY, TEXAS, ACCORDING."
FRCL-2025-3351,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+CTRkdW+5C/gt8fDVM7cWmD/wvq7/U0MfX+51W4kYipYFey4lUJ9uHOeG/a0ZcsFofINCwnRVbXntg94mU6k4fu,2025-06-03,2025-05-01,2,"LOT 14 IN BLOCK 1 OF SP, IG TEXAS ACCORDING TO OR PLAT 1 389134 OF THE MAP RE SS COUR — ALE INC DATE OF SALE: 06/03/2025 -«."
