case_number,case_url,file_date,property_address,filing_no,volume_no,page_no,county,created_at,is_new,doc_type
RP-2025-204377,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVfOWAVdaGkkbTgXrIjkVlQhX/Z7Mq4NzX+xBpoKAnOg5ZXFHSKOD0KB3AEJATgsHjZCDgjPXYscxOy+x1jyoWgwv/LGDahsbklb14lCrnBCI2loxkYhGSKPIDkE2VT9RNA==,05/29/2025,"7222 Liberty Tree Lane, Houston, Texas 77049",,3,3,Harris,2025-05-31 15:46:13.428302,True,L/P
RP-2025-204238,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVSzRvTf/mEhRSg37GZicqBxtW9xuNtGyQZDpS2xxzek86cXogQ2BxmadcBjVEFYF0cq42zsYJGkudwMSJJAZ10yqwB1MEPJgoBN0egsyu8EjzRlEQuqOWGI4YQbcdeQWPQ==,05/29/2025,"13030 Hawkins Bend, Houston, Texas 77044",,2,2,Harris,2025-05-31 15:46:25.295023,True,L/P
RP-2025-203913,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVXCegaDam8u/fbAc3FRRSftKnSjS2Nobri9UX01zatqtXzhwF86uINyBO3rX7mZUCGJOgVstLHthSSo/G8ydsSPjkY7z67WwElf5M/FGsvpXRyViO202djkVqmLOI6MaxA==,05/29/2025,"46 Siticon Drive, Suite 103 Southlake, Texas 76092",,3,3,Harris,2025-05-31 15:46:35.750245,True,L/P
RP-2025-203874,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVd6xds4y8wClvcYrRanTzZpNU/8H52OIGVihUgXkbYirLmvvtP29SC3nkCjzlaEiNoI4JreW/IBoPMK1saZ0qJb6sI2CETCP6nyMTACxStO8bTBaxUaB1R0r1wNMc8Jk3w==,05/29/2025,"one certain deed of trait neck Harris County, Texas",,3,3,Harris,2025-05-31 15:46:46.308688,True,L/P
RP-2025-203747,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVRyOw4kvMYRzaFXFDa8FfAvZxK5X1OqXlO6Y6TnO24KapFx09jYXjxMRD0IoYp+T3vtnyq1bBO6GNDpmLDFAw+nYUg7HdYFG4jsOVxg0ipLoquJaCfEoorBJrzUuItvWVg==,05/29/2025,"and Judicial District Court of Harris sunny, Texas",,2,2,Harris,2025-05-31 15:46:56.506007,True,L/P
RP-2025-203644,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVebW6JYOdgAPUq3/6k/gxTrsOst8vQ7ZRqVM4OH8xRciLnIwuTrD3UIZqmZm/UqWZJBoo6+I0RGWhhf5fO1hGdUeBQ8whaaD0dau91od4htBwQ2dDUpKttgZzPAfY/pmQw==,05/29/2025,"15002 Millstream Bend Ln, Torubnll, TX",,2,2,Harris,2025-05-31 15:47:07.360765,True,L/P
RP-2025-203170,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVSl1jP6V/bVXYtCTnuNKjYEdE/KIChSsO/yaFg+tcNTTKO0mSxRKQoBlR6p/aqL+PWiwiamu1dEaUjeicqei43bB4fVx5YzLvE0k4qu18WZdIvhnjFaX0F2pU1ZNj3wiLQ==,05/29/2025,"235 Thomton Road, Houston. Texas 77022",,3,3,Harris,2025-05-31 15:47:16.969702,True,L/P
RP-2025-203152,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVf6Amh56CtNAUb7FXS3Y4Rz+kwXuHhuVb6O1b6r+GBWWZXgDKg+74H0RsjgfNe9weRYwkndXZCRUsH7Jbe83tORW3cQ/h7zo07ArSRcGMR8wyDkV+O5XO+EMwAoI85tLMg==,05/29/2025,and fraud served LAND HEIGHTS ANNEX SECT,,3,3,Harris,2025-05-31 15:47:27.111619,True,L/P
RP-2025-203145,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVfCjY4jAsnfWfRb02kMdfAh8BdYdnYPy62eTe/Hub+CH5J7KD1iQ+/EiTsLCRcFOw/Slq+tF0Jvm4MmIvDZrdmw5NOV42yULelNHszQVIJrw4Wl2JCLXUr7RWm4DWPzgXw==,05/29/2025,"634 Pickering Street, Houston, Texas 77091",,3,3,Harris,2025-05-31 15:47:37.955594,True,L/P
RP-2025-203137,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVRLo3gYi7+culG7ElVeeNBgNSnzdL6cZdZGn0viOzpW8JrNOZFFH2tLDOVzGTpQtdSMPCG5Gn9VFeuXwKVkKadmygD2seeCALMiFhOoVZ2LTqaoJ8i3yI2kGEA0qyML8Rg==,05/29/2025,"864 Paul Quinn Street, Houston. Texas",,3,3,Harris,2025-05-31 15:47:48.963237,True,L/P
