case_number,case_url,file_date,property_address,filing_no,volume_no,page_no,county,created_at,is_new,doc_type
RP-2025-205094,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVbueBt4CoN0V7WaEW+qwiSd+v93LBOQW7zAj9U9ax6ZeIbnPKAPTuOZYVMFeWeBbTw7IAwIHid3JCYqAMR3gkPxDTYI0SptqM+Z67XeF1y/vGhYYXSkXikquBYDAs3a4Ew==,05/30/2025,,,2,2,Harris,2025-06-01 23:42:51.501151,True,L/P
RP-2025-205080,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVUA5LKPqjqpPyvOyxDQ2QotWw3mPfcbWQIBZyOaTffyH1mxwWF1RkOWp63CfhhSHgqGRr7y8Yd2c0VQZdux+0A267eRy/4D3Y0TgSBvcdqP1USQGqugWveBjSqObpR8Fkw==,05/30/2025,,,2,2,Harris,2025-06-01 23:42:52.731535,True,L/P
RP-2025-204837,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVQCCImOk83mppFSREwYw3Iv+aD4xnuRnPmH4aBROj073GFozYshtFIgtL80jm5v7xkMVKT36L0JhL8TTu8jp5fAK342sCL1+macjJNv3PY2AlrEHuqy3iXlclfk4GEGIqA==,05/29/2025,,,2,2,Harris,2025-06-01 23:42:53.345777,True,L/P
RP-2025-204799,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVVQCZUMQZ2Sxq1BALB6PSqTUJMA0YxVgqmjQHNKMvuwQRJJmVHQP6zuD5g6NHqznotjbyrldVvMfnFi9CQ8inb9LFK0p+PiHhcIwJxYI5wiH32gnvcb78fbKpQtYVhOJLQ==,05/29/2025,,,2,2,Harris,2025-06-01 23:42:53.557045,True,L/P
RP-2025-204788,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVeIBun9+b4kS65j/ZA7duBbS2bPfwqJCyFwEvwn3JpN0hDnxbXR/pS0Kg6CggW3xed656qpZyGtZXx9mnrUKJXuQ9AQmrFaAP1f5SZr8o8ld7I+VzTXgV0WQkdnrmS15lw==,05/29/2025,,,2,2,Harris,2025-06-01 23:42:53.719735,True,L/P
RP-2025-204785,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVaQRJiaCGMvLKA+EnP4vlSQw4igKgc5STvP2AxpTSOXVaG1m+3R18jXK2Cc5ghIZIaEeZyUAiRLCig1XIq+w7cxTIOv50yL0E4zSausEkcsK/bYsvsjG3erN9ksy4yMXag==,05/29/2025,,,2,2,Harris,2025-06-01 23:42:54.115967,True,L/P
RP-2025-204676,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVRKzJcDV6DxpSLYSHNaDu5ncP+4ZiR9CP7C3vfWqOaNm+XhTqKd0o36JluOxApoCNEeTpPZhiOP/UMoDUOH5jGtIbuYAAJc4spzvDL+NXFDrHHz4ANQIL3HoJq+Ws3mHMw==,05/29/2025,,,2,2,Harris,2025-06-01 23:42:54.299249,True,L/P
RP-2025-204579,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVYj3tD81dZOiGPcZ+j2Pt2yfqfJIDHJVk4lyL8AFPHhZZgaxq9mguyuQ/LCYUjqo+xPAgRD49UoDZ5erG/DBg1S9BdJHnZkl8ghs2L7jhjuTdnuIt35jgpEGB5T4+/wmag==,05/29/2025,,,3,3,Harris,2025-06-01 23:42:54.488055,True,L/P
RP-2025-204553,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVeG2ygAjJcKfu+vZGzhioWbwl5QkliArwdogGktYqcJChQJmU6yEFxAdVnu85idLptQVnTR92Uov2feVZiZd3q9Td+CZUPicGyuR0VhgBgbK+PjA05b8m+Xol87OHsPixA==,05/29/2025,"11561 Friendship Ln., Ggnroe, TX 77385",,5,5,Harris,2025-06-01 23:43:05.626795,True,L/P
RP-2025-204408,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVWZtCHf89BYj1pLWUfJJAy2HbBGQLnzgQi3kHh95ErFmROZHRiU1DbXGZxID9DydMj0auavRHzNd7hM+hJs4onXnk09yLW/vGzcQQaUotAPJdYzw1Qw2kB9o8Kc+S44hqw==,05/29/2025,"880 Liberty Creek Trail, Houston, Texas 77049",,3,3,Harris,2025-06-01 23:43:17.792358,True,L/P
